iter	RMSE
0	0.5662341666
1	0.5052752562
2	0.4654194617
3	0.4506967182
4	0.4386375019
5	0.4261597683
6	0.4204837209
7	0.4146379755
8	0.4099178657
9	0.4041326387
10	0.3998747634
11	0.3960900881
12	0.3899066591
13	0.3844394944
14	0.3817876148
15	0.3795143534
16	0.3763340129
17	0.3706286132
18	0.367130459
19	0.3651251199
20	0.3611152344
21	0.3580462026
22	0.3553283392
23	0.3515058449
24	0.3499167485
25	0.3467158478
26	0.3440480854
27	0.3371631844
28	0.3327732211
29	0.3308133374
30	0.3278364493
31	0.3254363485
32	0.3226796581
33	0.3207841567
34	0.3193177806
35	0.3169300286
36	0.3139460162
37	0.3118059525
38	0.309644791
39	0.3078740092
40	0.3066597334
41	0.3034812306
42	0.3003198642
43	0.2985200059
44	0.2970455351
45	0.2946878423
46	0.2932716516
47	0.2898447803
48	0.2881780454
49	0.2870364978
