iter	Passed	Remaining
0	40	2005
1	78	1883
2	117	1836
3	155	1790
4	194	1747
5	233	1712
6	272	1674
7	312	1639
8	349	1593
9	392	1570
10	433	1537
11	478	1513
12	516	1469
13	556	1432
14	594	1386
15	632	1344
16	675	1310
17	713	1269
18	753	1229
19	794	1191
20	834	1153
21	881	1122
22	922	1082
23	958	1038
24	995	995
25	1032	953
26	1072	913
27	1109	872
28	1146	830
29	1186	791
30	1227	752
31	1276	718
32	1317	678
33	1350	635
34	1397	598
35	1435	558
36	1475	518
37	1515	478
38	1557	439
39	1600	400
40	1636	359
41	1672	318
42	1712	278
43	1754	239
44	1792	199
45	1835	159
46	1872	119
47	1918	79
48	1961	40
49	1997	0
