iter	RMSE
0	0.5558904436
1	0.4878142103
2	0.4626375628
3	0.4483168541
4	0.4385006692
5	0.4317411137
6	0.4258192691
7	0.4201898567
8	0.416416581
9	0.4114575003
10	0.4019813356
11	0.395584413
12	0.3909050332
13	0.3879704498
14	0.3855504344
15	0.3806711256
16	0.3763395022
17	0.3729900521
18	0.3689505895
19	0.3646578405
20	0.3627735028
21	0.3600929652
22	0.3588304271
23	0.3576401508
24	0.3535181827
25	0.3504669923
26	0.3478317873
27	0.3445682877
28	0.3392506132
29	0.3354069644
30	0.3341965503
31	0.3318026241
32	0.3276846701
33	0.3256848412
34	0.3221599491
35	0.320584249
36	0.3189696582
37	0.3181787942
38	0.3146625198
39	0.3108141924
40	0.3065872859
41	0.3031330746
42	0.300879431
43	0.2986914513
44	0.2971567111
45	0.2951884655
46	0.2933864909
47	0.290295737
48	0.2878237958
49	0.2864811932
50	0.2852449498
51	0.2843952544
52	0.283082796
53	0.280219552
54	0.2787734765
55	0.2763645108
56	0.2717829924
57	0.2687367498
58	0.267462683
59	0.2646637285
60	0.2629177197
61	0.2616024816
62	0.2599137907
63	0.2590011766
64	0.2560902066
65	0.2556697528
66	0.2545668838
67	0.2534675892
68	0.2506809847
69	0.248176949
70	0.2474578884
71	0.2447307869
72	0.2424960231
73	0.2414888747
74	0.2400955509
75	0.2388097854
76	0.2377458277
77	0.2365267388
78	0.2345214143
79	0.2339282013
80	0.2329941168
81	0.2319158037
82	0.230721009
83	0.2292373185
84	0.2283444524
85	0.2269760888
86	0.2252712984
87	0.2246923685
88	0.223007342
89	0.2218888365
90	0.2200510475
91	0.2193744432
92	0.2183371564
93	0.2178309538
94	0.217284703
95	0.2158565809
96	0.2150277329
97	0.2143661322
98	0.2136148066
99	0.213164205
