iter	Passed	Remaining
0	164	16285
1	208	10226
2	246	7972
3	289	6957
4	338	6426
5	380	5954
6	422	5608
7	465	5354
8	508	5145
9	552	4970
10	595	4818
11	645	4731
12	696	4661
13	750	4610
14	801	4539
15	845	4440
16	902	4405
17	946	4312
18	999	4261
19	1053	4215
20	1102	4146
21	1145	4062
22	1188	3977
23	1231	3898
24	1277	3833
25	1317	3749
26	1364	3689
27	1405	3614
28	1455	3563
29	1504	3510
30	1552	3454
31	1602	3405
32	1661	3373
33	1712	3323
34	1764	3276
35	1809	3217
36	1856	3161
37	1897	3096
38	1944	3040
39	1991	2987
40	2039	2935
41	2091	2887
42	2133	2827
43	2179	2773
44	2225	2720
45	2282	2678
46	2330	2627
47	2373	2571
48	2419	2518
49	2468	2468
50	2516	2417
51	2559	2362
52	2610	2315
53	2652	2259
54	2702	2211
55	2759	2168
56	2811	2120
57	2874	2081
58	2918	2028
59	2964	1976
60	3010	1924
61	3057	1873
62	3109	1826
63	3158	1776
64	3210	1728
65	3255	1677
66	3297	1624
67	3337	1570
68	3393	1524
69	3442	1475
70	3490	1425
71	3538	1376
72	3586	1326
73	3633	1276
74	3681	1227
75	3733	1178
76	3785	1130
77	3834	1081
78	3889	1033
79	3932	983
80	3980	933
81	4030	884
82	4072	834
83	4113	783
84	4162	734
85	4210	685
86	4257	636
87	4302	586
88	4353	538
89	4406	489
90	4461	441
91	4514	392
92	4558	343
93	4603	293
94	4648	244
95	4704	196
96	4746	146
97	4793	97
98	4839	48
99	4888	0
